Id,STseg,SegId,Study,Session,Order,SL,TL,Task,Task2,Text,Part,Nedit,Dur,FDur,PreGap,TG300,TD300,TB300,TG500,TD500,TB500,TG1000,TD1000,TB1000,TG2000,TD2000,TB2000,TG5000,TD5000,TB5000,Scatter,FixS,TrtS,FixT,TrtT,ParalFixS,ParalS,ParalFixT,ParalT,Ins,Del,MIns,MDel,AIns,ADel,SIns,SDel,TokS,LenS,TokT,LenT,LenMT,Yawat,String,TAGnbr,SAGnbr,HSgrp,Cross,HCross,HTra,HSTC,HTot,HTotN
1,1,16,CREATIVE_A1,P01_P3,NA,en,zh,P,1,3,P01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11,1,2,0,---,??,1,2,0,1,0,0,0,0,0
2,2,17,CREATIVE_A1,P01_P3,NA,en,zh,P,1,3,P01,1,335533,335533,57031,278206,296,16,277824,678,15,277084,1418,14,272250,6252,10,263334,15168,7,4,0,0,0,0,0,0,0,0,33,35,33,35,0,0,0,0,15,77,13,23,0,---,??_??_?_?_????_??_?_??_?_??_??_?_?,1.73,1.93,0.14,4.67,2.02,1.76,2.73,5.55,0.74
3,3,18,CREATIVE_A1,P01_P3,NA,en,zh,P,1,3,P01,2,592324,377193,295515,294249,2560,18,293556,3253,16,289467,7342,9,287078,9731,7,278068,18741,4,8,0,0,0,0,0,0,0,0,64,73,64,73,0,0,0,0,39,208,36,57,0,---,?_??_??_??_??_?_?_??_??_?_??_??_??_?_?_??_??_??_?_??_??_?_?_?_?_?_??_?_—_??_??_??_??_?_??_?,1.54,1.77,0.43,6.82,1.91,1.64,2.61,7.24,0.82
4,4,19,CREATIVE_A1,P01_P3,NA,en,zh,P,1,3,P01,2,287604,287604,56634,229719,1251,20,229005,1965,18,224934,6036,12,218862,12108,7,212434,18536,5,8,0,0,0,0,0,0,0,0,48,43,48,43,0,0,0,0,18,103,23,35,0,---,??_??_?_??_??_?_??_?_?_??_?_?_??_?_??_?_?_?_?_?_??_???_?,1.56,1.56,0.44,4,2.44,1.96,3.1,6.73,0.87
5,5,20,CREATIVE_A1,P01_P3,NA,en,zh,P,1,3,P01,2,349436,146434,55722,292404,1310,16,291183,2531,13,289137,4577,10,284700,9014,7,273078,20636,4,7,0,0,0,0,0,0,0,0,48,49,48,49,0,0,0,0,18,101,18,29,0,---,?_??_?_???_?_?_??_??_?_??_??_?_?_??_??_?_??_?,1.39,1.67,0.7,3.94,1.81,2.05,2.84,6.69,0.86
6,6,21,CREATIVE_A1,P01_P3,NA,en,zh,P,1,3,P01,2,421956,421956,45404,375331,1221,30,374215,2337,27,371916,4636,24,363010,13542,17,340065,36487,9,13,0,0,0,0,0,0,0,0,94,88,94,88,0,0,0,0,29,139,22,48,0,---,????_????_?_??_?_??_??_??_?_?_??_?_??_????_??_????_??_??_??_??_???_?,1.31,1.97,1.29,3.93,1.76,1.8,2.41,6.82,0.81
7,7,22,CREATIVE_A1,P01_P3,NA,en,zh,P,1,3,P01,2,279173,279173,109959,168946,268,11,168619,595,10,167985,1229,9,167985,1229,9,154702,14512,5,10,0,0,0,0,0,0,0,0,44,40,44,40,0,0,0,0,17,86,21,32,0,---,“_??_??_?_?_???_?_”_??_?_?_?_?_?_?_???_?_??_??_??_?,1.41,1.35,0.7,2.53,1.11,1.81,2.27,5.99,0.78
8,8,23,CREATIVE_A1,P01_P3,NA,en,zh,P,1,3,P01,1,173887,173887,89810,81082,2995,14,79741,4336,11,77934,6143,8,76692,7385,7,64608,19469,3,5,0,0,0,0,0,0,0,0,28,28,28,28,0,0,0,0,15,59,10,17,0,---,?_???_??_?_?_??_??_?_??_?,1.2,2.33,0.69,3.4,2.44,2.39,3.2,6.07,0.81
9,9,24,CREATIVE_A1,P01_P3,NA,en,zh,P,1,3,P01,3,620992,393044,374426,245859,707,37,243627,2939,31,240757,5809,27,229742,16824,19,213634,32932,13,11,0,0,0,0,0,0,0,0,75,75,75,75,0,0,0,0,26,137,23,38,0,---,??_??_?_??_?_??_??_?_?_??_?_??_?_??_?_?_??_?_??_??_??_???_?,1.23,1.69,0.68,3.15,1.93,2.1,2.71,6.97,0.84
10,10,25,CREATIVE_A1,P01_P3,NA,en,zh,P,1,3,P01,2,936850,214319,722531,212182,2137,16,211690,2629,15,211187,3132,14,205477,8842,10,192749,21570,6,8,0,0,0,0,0,0,0,0,79,80,79,80,0,0,0,0,29,170,33,55,0,---,??_???_?_?_??_?????_?_??_??_??_?_??_?_??_??_?_?_?_?_??_??_?_?_?_?_?_?_???_??_?_???_?_?,1.52,1.48,0.57,2.86,1.79,2.05,2.61,7.16,0.85
