Id,STseg,TTseg,ParaId,Segmentation,Study,Session,SL,TL,Task,Text,Part,Nedit,Dur,FDur,PreGap,TG300,TD300,TB300,TG500,TD500,TB500,TG1000,TD1000,TB1000,TG2000,TD2000,TB2000,TG5000,TD5000,TB5000,Scatter,FixS,TrtS,FixT,TrtT,ParalFixS,ParalS,ParalFixT,ParalT,Ins,Del,MIns,MDel,AIns,ADel,SIns,SDel,TokS,LenS,TokT,LenT,LenMT,Yawat,String,TAGnbr,SAGnbr,HSgrp,Cross,HCross,HTra,HSTC,HTot,HTotN
1,1,1,1,sentence,CREATIVE2_A1,P01_P2,en,zh,P,2,P01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,1,0,---,?,1,1,0,1,0.46,1.14,1.14,2.22,0.64
2,2,2,2,sentence,CREATIVE2_A1,P01_P2,en,zh,P,2,P01,1,228717,228717,166680,62017,20,1,62017,20,1,62017,20,1,62017,20,1,62017,20,1,0,0,0,0,0,0,0,0,0,11,11,11,11,0,0,0,0,5,27,3,9,0,---,???_????_?,1,2.2,0.88,1,1.07,0.93,1.28,4.06,0.7
3,3,3,2,sentence,CREATIVE2_A1,P01_P2,en,zh,P,2,P01,2,3372319,293655,3248173,122544,1602,25,119128,5018,16,114443,9703,10,106610,17536,5,96884,27262,2,8,0,0,0,0,0,0,0,0,49,51,49,51,0,0,0,0,15,73,16,26,0,---,??_?_?_??_?_?_??_?_???_?_??_?_??_?_???_?,1.2,1.13,0,1.53,0.96,1.35,1.67,5.41,0.74
4,4,4,2,sentence,CREATIVE2_A1,P01_P2,en,zh,P,2,P01,3,609513,358668,460366,147341,1806,23,145763,3384,19,139430,9717,11,134834,14313,8,128242,20905,6,9,0,0,0,0,0,0,0,0,55,57,55,57,0,0,0,0,16,91,14,24,0,---,??_?_??_??_??_??_;_??_?_??_?_??_??_?,1.44,2,1.61,2.56,1.75,2.01,2.27,5.92,0.79
5,5,5,2,sentence,CREATIVE2_A1,P01_P2,en,zh,P,2,P01,3,1067483,741538,101006,961445,5032,54,956873,9604,42,948216,18261,29,941593,24884,24,914866,51611,15,21,0,0,0,0,0,0,0,0,141,161,141,161,0,0,0,0,35,180,36,54,0,---,??_?_??_??_?_?_??_?_?_??_?_?_??_???_?_??_??_?_?_??_?_??_?_?_??_?_??_?_?_?_???_?_?_??_?_?,1.34,1.63,0.49,3.4,1.81,1.53,2.33,7.11,0.83
6,6,6,2,sentence,CREATIVE2_A1,P01_P2,en,zh,P,2,P01,6,8014667,1620802,4449980,3544528,20159,182,3533782,30905,153,3497586,67101,101,3462913,101774,75,3355786,208901,41,48,0,0,0,0,0,0,0,0,359,368,359,368,0,0,0,0,55,325,60,92,0,---,??_?_?_?_?_?_??_?_??_??_??_?_??_??_??_?_??_?_??_?_??_??_??_?_?_??_?_?_?_?_??_?_?_??_?_?_??_?_??_?_?_?_??_?_?_?_?_??_????_???_???_?_?_?_?_??_??_??_??_?,1.53,1.62,0.79,4.11,1.91,2.44,2.84,8.02,0.87
7,7,7,3,sentence,CREATIVE2_A1,P01_P2,en,zh,P,2,P01,3,374491,374491,267358,103400,3733,32,97225,9908,15,94719,12414,11,90980,16153,8,75256,31877,3,5,0,0,0,0,0,0,0,0,44,48,44,48,0,0,0,0,8,29,5,9,0,---,??_??_?_??_?,1.25,2.75,1.93,2.88,2.81,3.06,3.33,5.09,0.79
8,8,8,3,sentence,CREATIVE2_A1,P01_P2,en,zh,P,2,P01,1,60911,60911,47862,12237,812,11,10253,2796,6,7136,5913,2,7136,5913,2,0,13049,0,1,0,0,0,0,0,0,0,0,14,14,14,14,0,0,0,0,8,27,6,11,0,---,?_???_??_?_??_?,1.12,2.5,1.28,1.75,0.88,2.19,2.57,4.47,0.69
9,9,9,4,sentence,CREATIVE2_A1,P01_P2,en,zh,P,2,P01,1,32479,32479,18967,13297,215,6,12970,542,5,11612,1900,3,10424,3088,2,6368,7144,1,1,0,0,0,0,0,0,0,0,6,7,6,7,0,0,0,0,4,14,5,6,0,---,?_?_?_?_?,2,1.5,1.34,2.5,1.11,1.84,2.09,3.86,0.71
10,10,10,4,sentence,CREATIVE2_A1,P01_P2,en,zh,P,2,P01,1,1964415,558017,122687,1838904,2824,39,1836446,5282,32,1828787,12941,21,1827744,13984,20,1812038,29690,16,18,0,0,0,0,0,0,0,0,123,151,123,151,0,0,0,0,27,140,26,42,0,---,?_??_??_??_??_??_?_??_??_?_?_??_?_?_??_??_?_??_?_??_?_?_???_??_?_?,1.85,3.15,1.73,5.11,2.69,2.9,3.3,7.25,0.88
